index,reduction,perturbation_type,control_task,layer,metric_mean,metric_std,metric_count
81,full,domain,RANDOMIZATION,6,0.05061582699418068,0.2675201953215591,20
82,full,domain,RANDOMIZATION,7,-0.0019533592276275297,0.32774524485334666,20
83,full,domain,RANDOMIZATION,8,-0.05011184733302797,0.26575448715431416,20
84,full,domain,RANDOMIZATION,9,-0.010232906928285948,0.33484846340431146,20
85,full,domain,RANDOMIZATION,10,-0.016989784661564044,0.297536907136109,20
86,full,domain,RANDOMIZATION,11,0.039201939036138354,0.35330479331741266,20
87,full,domain,RANDOMIZATION,12,0.029544852045364677,0.34309165277881587,20
88,full,domain,RANDOMIZATION,13,0.06265078745782374,0.2943926706728073,20
89,full,domain,RANDOMIZATION,14,0.010254221619106824,0.3228169780319693,20
90,full,domain,RANDOMIZATION,15,0.07588759334757923,0.26902935195333544,20
91,full,domain,RANDOMIZATION,16,0.14247907809913155,0.23151751984576624,20
92,full,domain,RANDOMIZATION,17,0.0665528000332415,0.2046939890174093,20
93,full,domain,RANDOMIZATION,18,0.04997388646006584,0.20317159895140857,20
94,full,domain,RANDOMIZATION,19,0.05495086498558519,0.22315753370577598,20
95,full,domain,RANDOMIZATION,20,0.08043506497051567,0.2696423640300687,20
96,full,domain,RANDOMIZATION,21,0.025781850237399328,0.2486941571267495,20
97,full,domain,RANDOMIZATION,22,0.049813387310132386,0.2815405788040811,20
98,full,domain,RANDOMIZATION,23,0.053612257540225985,0.25669410175056806,20
99,full,domain,RANDOMIZATION,24,0.09580569588579238,0.29270030523623086,20
100,full,rename,NONE,0,0.0,0.0,1
101,full,rename,NONE,1,0.028935699795301154,0.4612862078568636,13
102,full,rename,NONE,2,-0.03940121141763834,0.5502175147831779,13
103,full,rename,NONE,3,0.03596894099162175,0.5512048552576286,13
104,full,rename,NONE,4,0.09924568923620078,0.46163866160210326,13
105,full,rename,NONE,5,-0.12288078522452942,0.39685686549644233,13
106,full,rename,NONE,6,0.09365979481775027,0.43885544404662474,13
107,full,rename,NONE,7,0.16102319325392062,0.3388239339179596,13
108,full,rename,NONE,8,0.10237103729293896,0.4137710849698335,13
109,full,rename,NONE,9,0.07942383392499043,0.477557177893618,13
110,full,rename,NONE,10,0.0863416462850112,0.4543012884135498,13
111,full,rename,NONE,11,-0.07309449234834085,0.47819943311917956,13
112,full,rename,NONE,12,0.02175976536594904,0.3854251905548582,13
113,full,rename,NONE,13,-0.033924082294106477,0.3692379784052819,13
114,full,rename,NONE,14,-0.010643934687742855,0.3364599491659634,13
115,full,rename,NONE,15,-0.03414862459668746,0.2734753638476824,13
116,full,rename,NONE,16,-0.04170980734320787,0.371523915646866,13
117,full,rename,NONE,17,-0.02455674885557247,0.36991420945701353,13
118,full,rename,NONE,18,-0.07966289611963122,0.34759558223899273,13
119,full,rename,NONE,19,-0.21063344452816707,0.280410403434426,13
120,full,rename,NONE,20,-0.15320018034141797,0.3539063356573439,13
121,full,rename,NONE,21,-0.10461582243442535,0.37980997260347205,13
122,full,rename,NONE,22,-0.036371710710227476,0.34715913060574355,13
123,full,rename,NONE,23,-0.10909342909088501,0.4506047139538334,13
124,full,rename,NONE,24,-0.021062079243935057,0.3881244178342907,13
125,full,rename,RANDOMIZATION,1,-0.06416438233393887,0.3881234511181946,13
126,full,rename,RANDOMIZATION,2,-0.00025868988954102736,0.32807526049459246,13
127,full,rename,RANDOMIZATION,3,-0.035673159246261285,0.33634877222450776,13
128,full,rename,RANDOMIZATION,4,0.0705005680031788,0.32538443881221474,13
129,full,rename,RANDOMIZATION,5,-0.0015735408434501082,0.36993811677478866,13
130,full,rename,RANDOMIZATION,6,-0.06857315407922634,0.2357456577083678,13
131,full,rename,RANDOMIZATION,7,-0.030636820297401685,0.22943722574553624,13
132,full,rename,RANDOMIZATION,8,-0.031664323921387,0.2920667618868693,13
133,full,rename,RANDOMIZATION,9,0.036226584074588924,0.34588456992583405,13
134,full,rename,RANDOMIZATION,10,0.09301764303101943,0.2672888467086617,13
135,full,rename,RANDOMIZATION,11,-0.008247442722607105,0.2648185866763728,13
